,Book Title,Book Link,Book Author,Book Review,Book Type
2,The Boy I Love,https://www.amazon.co.uk/dp/1908262729?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Marion Husband,"The First World War has wrecked many lives and in 1919 love is hard to find.  Paul has to make a heartbreaking choice between his male lover or his dead brother's fiance.  I found this a quick read but still feel sad and angry at the prejudice the characters suffered long after finishing it.  The explicit love scenes may shock some readers, however.",A little Safe
3,Mornings in Jenin,https://www.amazon.co.uk/dp/1408809486?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Susan Abulhawa,"Told through the voice of one family and primarily the youngest daughter, Amal, this is an unflinching account of the Palestinian experience from the birth of Israel to the end of the 20th century.  The reader cannot help feel the anger, hurt, loss and the sense of isolation endured by Amal and her family - and her faith in family and friendship really makes you think about individual and personal stories at times of war and conflict",A little Safe
4,A Kind of Freedom,https://www.amazon.co.uk/dp/B0743MB8RZ?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Margaret Wilkerson Sexton,"I like the way the writer puts an emphasis on hope, family ties and survival. Life for a New Orleans family isn't easy, but Evelyn, her daughter Jackie and Jackie's son T.C. don't let their war- drugs- and racism related problems get the better of them. Written in a cool but at the same time compassionate way this was certainly human story I could relate to.",A little Safe
5,Factoring Humanity,https://www.amazon.co.uk/dp/1988415268?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Robert J Sawyer,"A sci-fi book for non sci-fi readers. Strong characters, family saga plot, a new light on maths, and a search for life beyond the stars, all rolled into a readable tale of 20th century academic life in North America.




",A little Safe
6,Dept of Speculation,https://www.amazon.co.uk/dp/1847088740?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jenny Offill,"Written in a blog diary style, these are bittersweet dispatches from life on the frontline of a failing marriage. All the agonies and joys of motherhood are here too, condensed into unforgettable moments that any woman who has ever been ‘on the edge’ will empathise with, even if you have never had to walk a baby to sleep for hours. ",A little Safe
7,The Passion of Artemisia,https://www.amazon.co.uk/dp/B01FIW1YDG?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Susan Vreeland,"Steeped in art and history, this is a fascinating story of the life, loves and suffering of Artemisia Gentileschi, Italy's most famous female artist.  She is a woman to be admired for her determination to overcome scandal in court and gain acceptance in art circles, but pitied as she is betrayed by the men she loves.


",A little Safe
8,The House on Paradise Street,https://www.amazon.co.uk/dp/1476718776?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Sofka Zinovieff,"Greece is the setting for a story which brings into focus the recent history of the country, highlighting how the slide into civil war following World War Two fractured Greece and its families, leaving a legacy that has not yet been overcome. It's a story told with a passion where injustices are are exposed giving the reader a thoughtful, absorbing journey into a period of history often overlooked. ",A little Safe
9,An Obedient Father,https://www.amazon.co.uk/dp/0571313590?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Akhil Sharma,"The main character arouses such a wide range of emotions and reactions, especially after the family secret is revealed. Should he be hated or pitied? Whatever your view, this is a compulsive, but sometimes uncomfortable read.
",A little Safe
10,My Biggest Lie,https://www.amazon.co.uk/dp/1782110402?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Luke Brown,"Let yourself by whisked along by a novel that is at times a heady, intoxicating blur and at others, funny, honest and charming. It follows Liam as he escapes to Buenos Aires, far away from the mess he's made of both his relationship and his job with a London publisher (not a good idea to be held responsible for the death of your most celebrated author). But in spite of all his mistakes it's hard not to end up rooting for Liam.  ",A little Safe
11,Things My Mother Told Me,https://www.amazon.co.uk/dp/0751573507?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Tanya Attapattu,"Anjali is someone you'll want to root for. Even with her mistakes and romantic missteps you'll stick by her. She is central to the feel good factor that runs through this book. There is a balance, perfectly struck, between the funny and serious in Anjali's story, and that of her sister and their Sri Lankan mother. That perfect balance is also evident in how the cultural divide between Anjali's Sri Lankan and English identities is portrayed. ",A little Safe
12,Biography of Desire,https://www.amazon.co.uk/dp/B009BTQJR4?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Mary Dorcey,"Explicitly told story of a passionate and illicit love affair.  A tale of joy and misery, in which not everyone can possibly live happily ever after
",A little Safe
13,Mail Order Bride,https://www.amazon.co.uk/dp/1560974109?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Mark Kalesniko,"This is a graphic novel telling an unusual story. Kyung comes from Korea as a mail order bride for Monty.  Expectations on both sides are not met and the resulting story surprised me as the initial, and obvious, cultural differences shifted and became more complex.",A little Safe
14,Central Station,https://www.amazon.co.uk/dp/B083G6VR9S?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Lavie Tidhar,"Tel Aviv has become a central space port in a post-singularity solar system in this cyberpunk novel. Though light on plot, it is dense with imaginative mind-bending concepts such as data vampires, post-mortality packages and robot religions – with some humorous nods to Douglas Adams' Hitchhikers Guide,  thrown in for good measure. Great fun for all lovers of world-building fiction and virtual reality games players.<br /><br />",A little Safe
15,We are Family,https://www.amazon.co.uk/dp/0099457822?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Josie Lloyd and Emlyn Rees,"An absorbing modern family saga telling the story of conflicting generations - their hopes, their relationships, their misunderstandings and their love affairs.  Set in the fictional seaside town of Stepmouth during a rainy 1950s summer and in present day Mallorca. Pacy, powerful and with genuine surprises.
 



",A little Safe
16,Hanna's Daughters,https://www.amazon.co.uk/dp/0753806789?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Marianne Fredriksson,"A story of three generations of women.  The youngest, Anna, is trying to discover her past and how it has influenced her life.  I found the descriptions of life in nineteenth century Sweden more interesting than the mother/daughter relationships!


",A little Safe
17,The Peculiar Life of a Lonely Postman,https://www.amazon.co.uk/dp/1786070537?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Denis Thériault,What a surprising little book this is and quite hard to pigeonhole. I could not condone the actions of a postman who steams open the letters he intercepts.  But my unease was swept away by the beautiful haiku and tanka that form part of the story - simply sublime.,A little Safe
18,Reader for Hire,https://www.amazon.co.uk/dp/1908670223?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Raymond Jean,"This novella is part of Peirene Press's ‘Chance Encounter’ series and was also a cinematic success. It describes the saucy adventures of a young French woman who decides to hire herself out as a reader to people in their own homes. But what do her clients really want – and how far will she go? Apart from the eroticism, there is also is plenty to delight the serious bibliophile, even one unfamiliar with French literature.",A little Safe
19,Seldom Seen,https://www.amazon.co.uk/dp/0099558653?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Sarah Ridgard,"In this assured debut, we see 1980’s rural Suffolk through the eyes of an angst-ridden teenager.  Family feuds and long-buried secrets play out against the backdrop of a changing landscape.  A convincing portrayal of life in a small village and a welcome departure from all the twee novels that uphold the rural idyll.<br /><br /><br /><br /><br />",A little Safe
20,A Perfect Arrangement,https://www.amazon.co.uk/dp/0141003677?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Suzanne Berne,"The perfect arrangement is seriously flawed and the perfect family, isn't!  I expected something awful to happen, but the end is unpredictable.


",A little Safe
21,The White Russian,https://www.amazon.co.uk/dp/0552149004?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Tom Bradby,"Good historical background makes this an interesting read with an unexpected ending. It captures the tension of Russia just before the revolution whilst weaving an intriguing story around mysterious murders and giving an authentic sense of place, cold and hunger.",A little Safe
22,Girlfriend 44,https://www.amazon.co.uk/dp/0747268142?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Mark Barrowcliffe,"Another sidelight on the self-indulgent 30+ male so frequently seen in films and novels these days.  Nevertheless, this one is funnier than many and has some delightful twists.  Will Harry finally get the girl?  Will his best friend and flatmate win out after all?  Read to find out, and enjoy.

",A little Safe
23,Treason Keep,https://www.amazon.co.uk/dp/1841493279?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jennifer Fallon,"Religious fanaticism and bloody conflict: does that sound like Fantasy?  It is if the gods themselves are involved!  A great story with vivid characters told at breakneck speed.  You might want to read Medalon first and you'll certainly look forward to Harshini.
",A little Safe
24,My Side of the Story,https://www.amazon.co.uk/dp/B01N0DIGTO?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Will Davis,"Jaz is one of those young people who want to find life as life begins to find them.  Full of energy and witty asides, this fast-paced whirl through school, street and family will remind anyone of the joys and horrors of being 16.",A little Safe
0,The Falls,https://www.amazon.co.uk/dp/B000FC293E?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Joyce Carol Oates,"I have never enjoyed Joyce Carol Oates before, I hated 'We Were the Mulvaneys' but this had me gripped from the very first page. Just proves that you never know what you'll like until you try it and sometimes more than once. A revelation.",Midway Safe or Disturbing
1,Ideas Above Our Station,https://www.amazon.co.uk/dp/1901927288?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Ian Daley (ed),"These fifteen stories by different authors make the ideal travelling companion. The short story format may be easily digested but the gritty, contemporary writing provides satisfying and appetising sustenance for the tedious lulls in every journey. ",Midway Safe or Disturbing
2,Archform: Beauty,https://www.amazon.co.uk/dp/0765304333?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,L E Modesitt,"You will need all your powers of concentration to absorb all the complexities of this futuristic tale of crime and investigation. Modesitt may well be being prophetic as to future developments in the music industry fascinatingly used as a background to the crime. It is also a love story.

",Midway Safe or Disturbing
3,A Factory of Cunning,https://www.amazon.co.uk/dp/0349119104?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Philippa Stockley,"Written in the form of journal entries and letters the reader soon becomes immersed in the seedier side of 18th century London and the complex and immoral plans of a manipulative woman who goes by the name of Mrs Fox. This is a beautifully written, darkly humorous novel full of intrigue and seduction.",Midway Safe or Disturbing
4,The Seventh Elephant,https://www.amazon.co.uk/dp/B01M1EQESP?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Alexis Stamatis,"Despite a Greek setting this is a universal tale of the destructive nature of addiction.  Sad but lyrically told.
",Midway Safe or Disturbing
5,Spurious,https://www.amazon.co.uk/dp/193555428X?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Lars Iyer,A tale of philosophy and damp!  This book is totally bizarre and quite surreal but oddly thought-provoking and strangely I even found it quite touching.  You will either love it or hate it.  ,Midway Safe or Disturbing
6,Skinfull,https://www.amazon.co.uk/dp/0906500834?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Hannah Bradby,"These two novellas touch upon issues of racism, domestic violence and child abuse, but it's not all doom and gloom.  Skinfull is an engaging and curious read, an East meets West with a twist that is not quite chapati and chips.<br />
<br />
",Midway Safe or Disturbing
7,Is Harry Still on the Boat?,https://www.amazon.co.uk/dp/0752842250?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Colin Butts,"Sex and drugs and holiday reps.  In this sequel to Is Harry on the Boat?, rival holiday firms battle for the attention of a major music company hoping to cash in on the clubbing scene in Ibiza.  A trashy, contemporary novel with a few laughs - a good holiday read.

",Midway Safe or Disturbing
8,The Thoughts and Happenings of Wilfred Price Purveyor of Superior Funerals,https://www.amazon.co.uk/dp/1780335814?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Wendy Jones,"A sunny day, a sumptuous picnic and a pretty girl in a yellow dress spell disaster for a young undertaker when he makes a proposal of marriage he instantly regrets.  The 1920's rural Welsh setting and a cast of engaging characters combine to suggest a confection of quaintness and charm.  And although the plot is driven by the discovery of a dark secret, it is handled with great sensitivity and lightness of touch.  A memorable read.<br /> ",Midway Safe or Disturbing
9,One Night at the Call Centre,https://www.amazon.co.uk/dp/0552778931?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Chetan Bhagat,"Six Indian friends finally triumph in this funny, romantic and very satisfying story of everyday work and family trials.  But don't read it if you are a fan of the USA - or indeed of 'white goods'.",Midway Safe or Disturbing
10,The Glass Books of the Dream Eaters,https://www.amazon.co.uk/dp/0141027304?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,W G Dahlquist,"This is a gothic fantasy thriller packaged in a big, big book.  So set some time aside for it because I guarantee you won't be able put it down.  A sort of 'Fingersmith' meets 'Frankenstein' with touches of black humour that are entirely 21st century.",Midway Safe or Disturbing
11,What Ends,https://www.amazon.co.uk/dp/1780746113?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Andrew Ladd,"We witness the demise of hope, a community and a family, as neighbours then siblings leave Trevor to care for declining parents and a failing business on a remote island. Told from the family's points of view the strains imposed on them in bleak conditions couldn't fail to move me.  I rooted for Trevor, but I knew he had to move on to learn to live. An elegiac tribute to islanders who have struggled to maintain their way of life.",Midway Safe or Disturbing
12,February Flowers,https://www.amazon.co.uk/dp/B01HCA9FOW?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Fan Wu,"This is a gentle yet intense story of a young Chinese girl going away to University, and becoming a woman.  The depth and fragility of her friendship with an older student are all too real, and the insight into life in 1990s China provides a fascinating backdrop to her relationships and life.",Midway Safe or Disturbing
13,Before I Forget,https://www.amazon.co.uk/dp/0099477521?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Andre Brink,"For the first chapters I really hated this book and it's recounting of the life and loves of this 'Don Giovanni', Chris Minnear, who is a very unsympatheic character.  Gradually however I did find the acccount of his life and his last love moving and sincere.",Midway Safe or Disturbing
14,Black Flower,https://www.amazon.co.uk/dp/0544106393?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Young-Ha Kim,Interwoven stories of the trials and hardships faced by an eclectic mix of Koreans who had hoped to make a better life for themselves in Mexico in the early twentieth century.  Once I’d got used to change of focus from character to character I really enjoyed this book and found the interspersed sections of historical detail fascinating.  ,Midway Safe or Disturbing
15,Then We Came to the End,https://www.amazon.co.uk/dp/0141027630?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Joshua Ferris,"The atmosphere of the office is captured well as are the petty hassles and the major disasters.  We get to know some of people quite well, while others are merely sketches.  <br />
<br />
Not an easy task making other people's daily work interesting for the reader - but this author pulls it off.  ",Midway Safe or Disturbing
16,An Unravelling,https://www.amazon.co.uk/dp/1786691000?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Elske Rahill,"The Gathering meets King Lear in this compelling and lyrical story which gives voice to four generations of an Irish family. Rarely have I read a novel that unleashed the full spectrum of my emotions - like watching a car crash in slow-mo, anticipating the inevitable impact while hoping the driver will take evasive action. At 484 pages this is a hefty book, but unusually for me, I read it in a few days.",Midway Safe or Disturbing
17,Gorsky,https://www.amazon.co.uk/dp/1784700703?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Vesna Goldsworthy,"A rags to riches story set in London. Niki, a Serbian refugee book shop assistant, is employed by Gorsky, a Russian oligarch, to buy Gorsky's personal library. Atmospheric descriptions of the Chelsea and Knightsbridge districts and of the lavish lifestyle of the London super rich combine to deliver an entertaining novel with shades of 'The Great Gatsby'. <br />",Midway Safe or Disturbing
18,Shanghai Baby,https://www.amazon.co.uk/dp/1841196843?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Wei Hui,"Sexually charged but not too explicit, this novel centres on a young aspiring novelist, her boyfriend and her German lover.  Although some of the similes don't quite work in translation, it's beautifully written.  Hui captures the atmosphere of modern day Shanghai, its young people under the influence of western culture as well as the selfishness that lies behind love and betrayal.<br />
<br />
<br />
",Midway Safe or Disturbing
19,The Artist of Eikando,https://www.amazon.co.uk/dp/1844080072?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Linda Lee Welch,"When Junko's parents die within minutes of each other, she is unable to avoid memories for her difficult childhood.  Why were her parents so cruelly indifferent to her?  She travels to Japan to discover whether the answer lies in what happened to them during the Second World War.  An easy-to-read story about the struggle to rebuild damaged lives.
",Midway Safe or Disturbing
20,A Long Way From Douala,https://www.amazon.co.uk/dp/1913109011?tag=whichbooknet-21&linkCode=osi&th=1&psc=1, Max Lobe,I found this book to be a compassionate coming-of-age journey through a richly described Cameroon. I enjoyed reading about a whole host of colourful characters from grief-stricken parents to corrupt police and shady people smugglers. I felt the ever-present threat of Boko Haram but laughed at the developing relationship between two friends as they navigate through a country in turmoil and search for their runaway brother.,Midway Safe or Disturbing
21,The Last Station,https://www.amazon.co.uk/dp/1847677754?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jay Parini,"The peaceful surroundings and the beautiful Russian countryside, successfully captured by the author, are a stark contrast to the turbulent feelings and unresolved conflict between the main characters.  Might tempt you to try some Tolstoy having read a bit about his life in this mix of fact and fiction.<br />
",Midway Safe or Disturbing
22,The American Granddaughter,https://www.amazon.co.uk/dp/1623718686?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Inaam Kachachi,A young Iraqi-American woman returns to her homeland as a translator for the US occupying forces.  I was expecting a sweeping love story set against the backdrop of a war torn country.  What I got was a moving and thought provoking novel about the atrocities of war and the devastating effect it has upon those who are caught up in it.  ,Midway Safe or Disturbing
23,The Frost Fairs,https://www.amazon.co.uk/dp/1844713989?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,John McCullogh,"McCullogh's first collection of poetry employs a colloquial and conversational style, combined with  unusual juxtapositions, to create otherworldly effects, sometimes dark and dreamlike – other times sensuous and tender.  Impermanence, like the shifting sands and melting ice, illustrate the fragility of human relationships.<br />",Midway Safe or Disturbing
24,Salamander,https://www.amazon.co.uk/dp/0007128665?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Thomas Wharton,"A magical tale about the adventures of a Renaissance printer and his companions.  This is a novel of full of ideas, myths and fantasies.  Just the thing for a rainy weekend.  The plot is quite fractured, and far from linear but if you are a booklover stay with it, because it's all about books, reading and love and will give you lots of food for thought and some memorable pictures. 

",Midway Safe or Disturbing
0,Night Dancer,https://www.amazon.co.uk/dp/B01MQH16NL?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Chika Unigwe,"Mma, a young Nigerian brought up by her mother, doesn't know the identity of her father. When her mother dies suddenly, Mma is left all alone.  Shunned by the neighbours,  she is desperate to discover her past and embarks on an emotional search for her father and her family. A moving and fascinating insight into life in Nigeria where the birth of a son is so important - and the lasting impact this has on lives and decisions. ",A little Disturbing
1,The Night Circus,https://www.amazon.co.uk/dp/0099554798?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Erin Morgenstern,"Everyone knows that the circus is magic, but Le Cirque des Reves is more magic than most.  It is the setting for a duel, for a love affair and for a game that pulls thousands into its orbit, and puts lives at risk. It is a story of the unwisdom of the wise, and the ability of the ordinary to rescue the extraordinary, and a story of the fragility of magic when two wizards enter a competition just to prove a point.",A little Disturbing
2,Claire of the Sea Light,https://www.amazon.co.uk/dp/1782068511?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Edwidge Danticat,"The focus of these lyrical, inter-linked stories shifts from a missing girl to individual members of a community who become drawn into the search for her.  A contemporary Haitian setting along with each character’s back story, where rich and poor alike experience personal tragedy, make this an unflinching portrayal of a town bowed by loss but united with hope.  ",A little Disturbing
3,The Stornoway Way,https://www.amazon.co.uk/dp/0141021608?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Kevin MacNeil,"Life in the Outer Hebrides - drink, sex, more drink, more sex, clifftop walks.   'This is not the back of beyond, it is the heart of beyond.'   A bleak, excruciatingly funny view of life in a really remote rural community.   And, if you think they are innocent in the country, this is not the book for you.",A little Disturbing
4,Iron Towns,https://www.amazon.co.uk/dp/1781255393?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Anthony Cartwright,"Living in the South Wales valleys, I'm all too familiar with the hardship and pain people face when the factories close and the villages are left to rot and waste away. This isn't the most cheerful novel - it's subject matter is gritty and honest. But what it delivers is a unique description of how football and a team spirit can help enthuse a dying community, to give people a sense of purpose - and somehow ease the pain of everyday living.  ",A little Disturbing
5,The Flame Throwers,https://www.amazon.co.uk/dp/B01FIW0EMI?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Rachel Kushner,"Motorbike enthusiast and aspiring artist Reno immerses herself fully in the 1970s' bohemian art scene. Captivated and influenced by her boyfriend, Sandro Valero, Reno is thrust into a world of class conflict and conceit. My affection for this young woman grew as she finds her own strength whilst exposing the weaknesses of those all around her. ",A little Disturbing
6,Distance,https://www.amazon.co.uk/dp/0099520532?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Ewan Morrison,"An astonishing description of all the joy, agony, fear and love that goes to make up a deep sexual relationship.  Hugely honest on how people feel and behave when they’re not sure they should feel and behave.  Think of a sort of transatlantic Pride and Prejudice, with lots of sex (and you will only begin to get a glimmer of what this book encompasses).<br />
",A little Disturbing
7,Pedro Paramo,https://www.amazon.co.uk/dp/052556652X?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Juan Rulfo,"This is the story of Pedro Peramo - overlord, lover and murderer. To know more of him you must visit Comala, the land of the dead.  A short complex novel with all the ingredients and logic of nightmares, told in simple, direct language that holds you from the first sentence to the end.


",A little Disturbing
8,Jubilee,https://www.amazon.co.uk/dp/1780220081?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Shelley Harris,"Jubilee Year 1977.   An idyllic English village - An iconic photograph.   Some people want to recreate it.   But they were cruel children and Satish was an outsider then, but in 2012 he is not a child and must choose to be a survivor or a victim.    Just the book for anyone who hates flag-waving, bunting, coronation chicken and the paraphernalia of the Jubilee.   And if you love these things it could give you a bit of a sophisticated warm glow.",A little Disturbing
9,Alice Bliss,https://www.amazon.co.uk/dp/B00545QGEA?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Laura Harrington,"This is a story of how a young American teenager copes when her idolised father goes to fight with the US Army in Iraq.  Although set in the early 21st century, the story has a strangely old fashioned atmosphere reminiscent of small town 1960's America. The characterisation is good and the mother/daughter relationship is very well done. An enjoyable, although serious and sad book which I think might appeal more to teenagers than to adults.  ",A little Disturbing
10,Love Without Resistance,https://www.amazon.co.uk/dp/0349118558?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Gilles Rozier,"Living in occupied France during the Second World War, the narrator endures an emotionless, bleak life with German literature as his only love.  His passion is suddenly ignited when he harbours a young Jewish man from the Nazis.  An intriguing, sparsely told novel.",A little Disturbing
11,Luck,https://www.amazon.co.uk/dp/0099449889?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Gert Hofmann,"This takes some getting into!  It moves slowly, and very little happens.  At first I didn't enjoy it, but as it went on the slow pace became almost hypnotic and I began to be drawn in to the unhappy world of a family breaking up in a most undramatic way.  Despite the sad tone, the novel has its humour, too,  particularly in the naively comic questions of the little sister.  A haunting book which despite the lack of incident, keeps coming back to me.

",A little Disturbing
12,Out of It,https://www.amazon.co.uk/dp/1408822032?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Selma Dabbagh,"27 year old Iman, sickened by the atrocities around her in Gaza, determines to take a more active role, whilst her twin brother Rashid has the chance of a scholarship in London and just wants out of it. I grappled with political nuances amidst the chaos and devastation, but the savvy, cosmopolitan young people kept me energised me throughout this fast-paced read with some nail-biting moments and unexpected family twists. Keep up if you can!",A little Disturbing
13,Euphoria,https://www.amazon.co.uk/dp/1447286197?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Lily King,"I thought this book sounded a bit dull when I saw it was about three anthropologists in New Guinea! How wrong I was! It's a really gripping story giving a real insight into the hardships endured in their quest to discover the rituals and life of primitive tribes. The narrator, Bankson, tells of his time spent with Nell and her husband, their research and their romance. Based on the life of Margaret Mead and her groundbreaking work.   ",A little Disturbing
14,Happiness,https://www.amazon.co.uk/dp/1841953512?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Will Ferguson,"This book is the perfect antidote to wallowing in self-pity. By the end of the novel you will want to throw out any self-help book that you have had the misfortune to buy.  In the words of Rajee Tupak Soiree Live! Love! Learn!<br />
<br />
",A little Disturbing
15,Working for the Devil,https://www.amazon.co.uk/dp/B004XCFI1W?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Lilith Saintcrow,"Danny Valentine is a feisty, determined and talented Necromancer and is chosen by Lucifer to kill the demon, Santino -  one of the most dangerous tasks she has ever undertaken.  Action packed with gritty language to match the dark story.<br />
",A little Disturbing
16,Resistance,https://www.amazon.co.uk/dp/0571229646?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Owen Sheers,A strange and eerie book.  What if the Germans had invaded?  I lived the struggle with Sarah and the other wives.  I waited with baited breath knowing the ending but not how it would happen and when...!  Read it and find out.,A little Disturbing
17,Apparel,https://www.amazon.co.uk/dp/B01CV0XQ2U?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Arthur Mauritz,The story is constructed around the internal monologues of several characters as they go about their daily lives. The literary challenge of this novel is that the reader is not told when they leave one mind and enter another. The overall city atmosphere and descriptions are very well done. I loved the imaginative literary idea together with the resulting personal and direct writing style. An exciting debut novel.,A little Disturbing
18,Saving Lucia,https://www.amazon.co.uk/dp/1910422568?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Anna Vaught,"Drawing on the lives of four women linked by mental illness, this novel touches on many themes: alternative history, personal legacy and the power of imagination. The psychiatric hospital setting lends an air of claustrophobia.  I grappled too with a fragmented, digressive narrative but my perseverance paid off. These are fascinating characters vividly portrayed, making it one of the most thought-provoking books I have read in a long time.  ",A little Disturbing
19,Fierce Invalids Home From Hot Climates,https://www.amazon.co.uk/dp/1842430289?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Tom Robbins,"A kaleidoscopic cornucopeia of a novel, with roots in James Joyce and gonzo journalism.  It tramples upon taboos big and small, from the arguments rehearsed by two main characters in favour of paedophilia down to reflections on the Pope's heartburn ('surely the breath of Satan').


",A little Disturbing
20,The Lost Dog,https://www.amazon.co.uk/dp/0099516950?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Michelle de Kretser,"Tom and his dog are lost: the dog in the Australian outback, Tom in society.  He is a man who knows his knots, but he doesn’t know the ropes of Australian life.  And he has a mystery to solve that connects these segments in his own life.  Following Tom as he attempts to navigate contrasting scenes through jungle and city provides an intriguing and refreshing alternative to the stereotypical view of Australia.",A little Disturbing
21,Kintu,https://www.amazon.co.uk/dp/B07ZWNK922?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jennifer Nansubuga Makumbi,"A sprawling, multi-generational epic full of richly drawn characters that provides an unflinching profile of family and country. With a teasing sense of myth and mystery, we compassionately investigate the nation’s changing identity. The setting is vividly conjured as a rippling backdrop to this character-led drama. A stirring, lyrical, breathless narrative.",A little Disturbing
22,Irma Voth,https://www.amazon.co.uk/dp/0571341039?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Miriam Toews,"Three stroppy Mennonite sisters on the run, looking for freedom from their violent father, submissive mother and the oppression of their misogynistic upbringing. An unusual culture-clash novel with an engaging narrator.",A little Disturbing
23,The Dark Bride,https://www.amazon.co.uk/dp/006008894X?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Laura Restrepo,"Sights, sounds and smells of the Columbian jungle pervade this extraordinary story of poverty, prostitution, love and survival.  This is not the wealthy world of Isabelle Allende, this is harsh reality. 

",A little Disturbing
24,The Association of Foreign Spouses,https://www.amazon.co.uk/dp/0751538140?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Marilyn Heward Mills,"What could have been a straightforward story of a group of women and their ups and downs of domestic life is given a whole new dimension by its setting – 1980’s Ghana – a period of unrest.  Eva’s descriptions give a deep sense of place and the minutia of daily life conveyed gives a real insight into what living in an alien country can be like.  With different customs and attitudes too, outcomes are not what we might be expecting ....",A little Disturbing
0,The Coldest Winter Ever,https://www.amazon.co.uk/dp/074327010X?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Sister Souljah,"Winter Santiaga's voice gets inside your head, and you want to know how she fares. A dark tale in every sense, and count the designer labels.


",Fairly Disturbing
1,Primeval and Other Times,https://www.amazon.co.uk/dp/8086264351?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Olga Tokarczuk,"This story scoops you up and rushes you along on a journey through the twentieth century in eastern Europe.  The village of Primeval is imaginary, so are its inhabitants and its petty and vengeful God, but they are also archetypes which force you to look again at the long sweep of history.",Fairly Disturbing
